company	profile	stipend	location	duration	deadline
BYJU'S The Learning App	Marketing	20000		3 Months	26 Oct' 20
Mahindra Logistics Limited	Operations	20000		6 Months	20 Oct' 20
BYJU'S The Learning App	Marketing	20000		6 Months	23 Oct' 20
Career Planet Infotech	PHP Development	20000		3 Months	2 Nov' 20
IonTach Academy	Teaching (NEET/JEE Entrance Exam Coaching)	20000		6 Months	2 Nov' 20
Portia Global	Digital Marketing	20000		3 Months	2 Nov' 20
QuantInsti Quantitative Learning Private Limited	Business Development (Sales)	20000		2 Months	2 Nov' 20
Introtuce	Android App Development (Native)	25000		3 Months	2 Nov' 20
RAx Labs Incorporation	Graphic Design	20000		3 Months	2 Nov' 20
International School Of Trends	Content Writing	20000		3 Months	2 Nov' 20
RAx Labs Incorporation	Content Writing	20000		3 Months	2 Nov' 20
Doubtnut	Content Development  Expert (Chemistry)	20000		6 Months	2 Nov' 20
OKR Edge	Graphic Design	20000		2 Months	2 Nov' 20
ELAMIGO E-COM PRIVATE LIMITED	Business Development (Sales)	21000		2 Months	2 Nov' 20
Kick Startup	Mobile App Development	20000		2 Months	2 Nov' 20
Breaking Jobs	Business Development (Sales)	20000		3 Months	2 Nov' 20
Qween Network LLP	Business Development (Sales)	20000		6 Months	2 Nov' 20
Quintessence Business Solution & Services	Content Writing	25000		2 Months	2 Nov' 20
Just Get It	Web Development	20000		3 Months	2 Nov' 20
OSOS Private Limited	iOS App Development	20000		5 Months	2 Nov' 20
Breaking Jobs	Operations	30000		6 Months	2 Nov' 20
JASHARA SERVICES PRIVATE LIMITED	Mobile App Development	20000		3 Months	1 Nov' 20
Stamurai	Animation	20000		3 Months	1 Nov' 20
Ohhpro Technologies Private Limited	Mobile App Development	20000		3 Months	1 Nov' 20
Ohhpro Technologies Private Limited	Java Development	20000		3 Months	1 Nov' 20
The Catholic Syrian Bank Limited	Marketing	20000		2 Months	1 Nov' 20
ClearQuote	UI/UX Design	20000		6 Months	1 Nov' 20
Eipi Media	Videography	20000		2 Months	1 Nov' 20
Sprinklr Private Limited	Enablement (Computer Science)	20000		3 Months	1 Nov' 20
Reward360 Global Services Private Limited	Business Development (Sales)	25000		4 Months	1 Nov' 20
Headstrt	Flutter (iOS) Developer	25000		3 Months	31 Oct' 20
Internshala	Marketing	20000		6 Months	31 Oct' 20
TwyLabz Technologies Private Limited	Business Development (Sales)	20000		2 Months	31 Oct' 20
Teleperformance India	Operations	25500		6 Months	31 Oct' 20
RAJ ENTERPRISE	Sales Management (In-house Sales) For An Online Coding Company	25000		3 Months	31 Oct' 20
KhataBook	Growth Analysis	20000		2 Months	31 Oct' 20
Jupiter	Product Management	20000		3 Months	30 Oct' 20
InhaltMart	Subject Matter Expert	25000		3 Months	30 Oct' 20
Elucidata Consulting Private Limited	Web Development	25000		6 Months	30 Oct' 20
Yulu	Business Development (Sales)	20000		3 Months	30 Oct' 20
Hiddenite Beverages Private Limited	Content & E-commerce Management	25000		2 Months	30 Oct' 20
EduFeat Private Limited	Mechanical Engineering OR Aerospace Engineering	23000		3 Months	30 Oct' 20
Juspay Technologies	Product Solution Engineering	20000		2 Months	30 Oct' 20
EduShastra Education Solutions Private Limited	Administration	20000		6 Months	30 Oct' 20
EduShastra Education Solutions Private Limited	Social Media Marketing	20000		6 Months	30 Oct' 20
EduShastra Education Solutions Private Limited	Teaching (CAT & GMAT)	20000		2 Months	30 Oct' 20
LEAD School	Business Strategy	100000		6 Months	30 Oct' 20
Hiddenite Beverages Private Limited	Digital Marketing	20000		6 Months	30 Oct' 20
GeeksforGeeks	Programming	25000		3 Months	30 Oct' 20
Unacademy	Teaching	20000		6 Months	30 Oct' 20
I Am Traveller Tours & Travels	Full Stack Development	20000		6 Months	30 Oct' 20
Wovhan	Marketing	20000		6 Months	30 Oct' 20
MorgenTEC Consulting Private Limited	Business Development (Sales)	20000		3 Months	30 Oct' 20
Udayy	Talent Acquisition	25000		3 Months	30 Oct' 20
Infinity Business Solutions	Operations	25000		6 Months	29 Oct' 20
Doubtnut	Content Development (Biology)	20000		3 Months	29 Oct' 20
Fyle	Customer Success	35000		3 Months	29 Oct' 20
Urban Works Institute	Operations	20000		3 Months	29 Oct' 20
GreedyGame Media Private Limited	Business Development (Sales)	30000		4 Months	29 Oct' 20
Mobile Premier League	Marketing	20000		3 Months	29 Oct' 20
Analytiks AI	Web Development	20000		2 Months	29 Oct' 20
Book Weekend Tours	Business Development (Sales)	30000		3 Months	29 Oct' 20
The Entrepreneurship Network	Andriod Development	20000		3 Months	29 Oct' 20
The Entrepreneurship Network	PHP Development	20000		2 Months	29 Oct' 20
Advanced Hair And Skin Solutions	Marketing	20000		6 Months	29 Oct' 20
Homely Meals	Business Development (Sales)	20000		6 Months	29 Oct' 20
Busibud	Full Stack Development	20000		2 Months	29 Oct' 20
Ginger Fresh	Web Development	25000		3 Months	29 Oct' 20
Farm Generations Coop	Mobile App Development	20000		2 Months	29 Oct' 20
Farm Generations Coop	Mobile App Development	20000		6 Months	29 Oct' 20
Juspay Technologies	Operations (Customer Experience)	20000		3 Months	29 Oct' 20
Saveo	Software Development (Backend)	30000		2 Months	29 Oct' 20
Ginger Fresh	Graphic Design	20000		2 Months	29 Oct' 20
Mykoolguru (FYIKIGAI Private Limited)	Business Development (Sales)	20000		2 Months	28 Oct' 20
GamesKraft Technologies Private Limited	Graphic Design	50000		3 Months	28 Oct' 20
Internshala	Visual Design	20000		6 Months	28 Oct' 20
Conections One	Marketing	20000		3 Months	28 Oct' 20
Rheo TV	Web Development	20000		3 Months	28 Oct' 20
Aspenstar Technologies LLP	Web Development	20000		4 Months	28 Oct' 20
Navigate2Educate	Counseling	25000		3 Months	28 Oct' 20
Innovatus Technologies Private Limited	Business Development (Sales)	25000		3 Months	28 Oct' 20
Icraft Solutions	Web Development	25000		6 Months	28 Oct' 20
Icraft Solutions	Web Development	20000		2 Months	28 Oct' 20
Edfora Infotech Private Limited	Graphic Design	20000		6 Months	28 Oct' 20
Greezo Supplies Private Limited	Business Development (Sales)	20000		3 Months	28 Oct' 20
Pitney Bowes Software India Private Limited	Support	20000		3 Months	28 Oct' 20
Graphy	Business Development (Sales)	25000		2 Months	28 Oct' 20
AVLON GmbH	Cloud Development (Advanced Node/Express)	20000		3 Months	27 Oct' 20
SKR INFRA	Graphic Design	30000		6 Months	27 Oct' 20
7FRAMES	Content Development (JEE/NEET)	20000		3 Months	27 Oct' 20
Primenumbers Technologies	Python Backend Programming	20000		2 Months	27 Oct' 20
Adaequare Info Private Limited	Graphic Design	20000		3 Months	27 Oct' 20
PlaySimple Games Private Limited	Content Writing	20000		6 Months	27 Oct' 20
TenByTen	Online Tutoring	20000		2 Months	27 Oct' 20
TheTutorist	Front End/UI Development (VueJS And CSS)	20000		2 Months	27 Oct' 20
Mark Education	Mobile App Development	20000		3 Months	27 Oct' 20
Karthik Dhoti	Full Stack Development	20000		6 Months	27 Oct' 20
Kick Startup	Mobile App Development	20000		3 Months	26 Oct' 20
CrossTab IT Consulting Private Limited	Human Resources (HR)	20000		6 Months	26 Oct' 20
Kick Startup	Web Development	20000		3 Months	26 Oct' 20
MrStudyBuddy	Business Development	20000		6 Months	26 Oct' 20
Sambhav Group	Graphic Design	20000		3 Months	26 Oct' 20
Internshala	Product Management	20000		3 Months	26 Oct' 20
Coviam Technologies	Business Development (Sales)	22000		3 Months	26 Oct' 20
Enfusion	Finance	30000		3 Months	26 Oct' 20
IvyPods	Product Management	20000		6 Months	26 Oct' 20
JUNQ : It's The New Healthy	Business Development (Sales)	25000		6 Months	26 Oct' 20
GT Informatics	Operations	25000		5 Months	26 Oct' 20
Kwiqpick Services	Business Development (Sales)	30000		3 Months	25 Oct' 20
UPHILL HR Services	Digital Marketing	20000		3 Months	25 Oct' 20
Xpress Minds Edutainment Private Limited	Business Development (Sales)	20000		2 Months	24 Oct' 20
Kid Aptivity Technologies	Virtual Teaching (English)	20000		3 Months	24 Oct' 20
Roboiotics Services LLP	Mobile App Development	25000		6 Months	24 Oct' 20
Rupeek	New Initiative Management	20000		6 Months	24 Oct' 20
Purple Turtles Lighting Ideas Private Limited	Visual Merchandising	20000		3 Months	24 Oct' 20
ACTIVEKIDSS RETAIL PRIVATE LIMITED	Social Media Marketing	20000		3 Months	24 Oct' 20
OSOS Private Limited	Android App Development	20000		6 Months	24 Oct' 20
LeadStrategus	Marketing	20000		2 Months	24 Oct' 20
SenSen Networks	Mobile App Development	20000		2 Months	23 Oct' 20
Introtuce	iOS App Development (native)	25000		2 Months	23 Oct' 20
Juspay Technologies	FP - Engineering For Backend	20000		3 Months	23 Oct' 20
Juspay Technologies	Front End Development	20000		2 Months	23 Oct' 20
Juspay Technologies	TPA - Data	20000		3 Months	23 Oct' 20
Rcentric Private Limited	Digital Marketing	20000		2 Months	23 Oct' 20
Decision Tree Analytics And Services	Web Development	20000		3 Months	23 Oct' 20
Kontiki Innovation Labs	Computer Vision & Machine Learning	20000		6 Months	23 Oct' 20
Caddy Code Solutions Private Limited	Business Development (Sales)	20000		3 Months	23 Oct' 20
Square Yards	Business Development (Sales)	20000		3 Months	23 Oct' 20
Frex Education Solutions LLP	Business Development (Sales)	30000		6 Months	23 Oct' 20
Marrow	Business Development (Sales)	20000		2 Months	15 Nov' 20
Unacademy	Teaching	65000		6 Months	22 Oct' 20
RheinBrücke IT Consulting Private Limited	Digital Marketing	25000		3 Months	22 Oct' 20
Queppelin Technology Solutions Private Limited	Unity Development	25000		3 Months	22 Oct' 20
Collab Lab Private Limited	Machine Learning Development (NLP Engineering)	20000		3 Months	22 Oct' 20
Beingpreneur	Graphic Design	20000		3 Months	22 Oct' 20
AT&C	Growth/Data Engineering	20000		3 Months	22 Oct' 20
Busibud	Human Resources (HR)	20000		3 Months	22 Oct' 20
RheinBrücke IT Consulting Private Limited	Graphic Design	25000		2 Months	22 Oct' 20
Global Book Publishing	Animation	20000		3 Months	22 Oct' 20
Internshala	Web Development	20000		3 Months	22 Oct' 20
GoodHealth Industries Private Limited	Graphic Design	20000		6 Months	25 Oct' 20
7FRAMES	2D Animation	25000		3 Months	22 Oct' 20
Squareyards	Business Development (Sales)	25000		2 Months	22 Oct' 20
Vedantu Innovations Private Limited	Product Analyst	25000		3 Months	22 Oct' 20
Neha Yadav	Machine Learning Development (NLP Engineering)	20000		6 Months	22 Oct' 20
Solera Life Science Private Limited	WebRTC & Socket.IO Development	20000		6 Months	22 Oct' 20
MAQ Software	Human Resources (HR)	25000		4 Months	22 Oct' 20
AffinityAnswers	Front End Engineering	25000		6 Months	22 Oct' 20
Digital Guruji	Business Development (Sales)	20000		2 Months	21 Oct' 20
SwitchMe Technologies And Services	Web Development	25000		2 Months	21 Oct' 20
Oceana Travel Private Limited	Web Development	20000		3 Months	21 Oct' 20
